what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1657664900584
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1657664900589
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1657664900618
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1657664900682
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1657664900820
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1657664900839
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1657664900850
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1657664900859
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1657664900878
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1657664900890
os,sysinfo,,,"win32",1657664900902
arch,sysinfo,,,"x86",1657664900902
ws,sysinfo,,,"win32",1657664900902
locale,sysinfo,,,"pt_BR",1657664900902
processors,sysinfo,,,"2",1657664900902
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1657664900902
java.runtime.version,sysinfo,,,"1.8.0_331-b09",1657664900902
java.specification.name,sysinfo,,,"Java Platform API Specification",1657664900902
java.specification.vendor,sysinfo,,,"Oracle Corporation",1657664900902
java.specification.version,sysinfo,,,"1.8",1657664900902
java.vendor,sysinfo,,,"Oracle Corporation",1657664900902
java.version,sysinfo,,,"1.8.0_331",1657664900902
java.vm.info,sysinfo,,,"mixed mode",1657664900902
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1657664900902
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1657664900902
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1657664900902
java.vm.specification.version,sysinfo,,,"1.8",1657664900902
java.vm.vendor,sysinfo,,,"Oracle Corporation",1657664900902
java.vm.version,sysinfo,,,"25.331-b09",1657664900902
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1657664902302
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1657664903815
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1657664904319
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1657664904984
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1657664905326
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1657664905683
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1657664905879
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1657664907167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657664907682
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1657664907832
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1657664909922
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1657664911289
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1657664911586
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1657664914808
